source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
13, 10, 5901, 0.0245704,0.0228954
14, 10, 3385, 0.0347762,0.0327206
15, 10, 4368, 0.0222534,0.0364775
16, 10, 13898, 0.0190119,0.0513097
17, 10, 82042, 0.00900349,0.101181
18, 10, 47425, 0.00809725,0.0539891
19, 10, 18997, 0.00840073,0.0267029
20, 10, 113162, 0.0118201,0.082669
25, 10, 14790, 0.0146973,0.0237269
26, 10, 17892, 0.0170412,0.0283291
27, 10, 24537, 0.045553,0.0225105
36, 10, 57723, 0.0147701,0.0597996
37, 10, 14523, 0.0182766,0.0226794
38, 10, 9523, 0.0203799,0.0269147
39, 10, 25863, 0.0202036,0.0361038
41, 10, 56468, 0.0290445,0.0308309
12, 11, 4537, 0.00534886,0.00482621
13, 11, 4132, 0.0211718,0.0204995
14, 11, 5021, 0.0421313,0.03544
15, 11, 4261, 0.0381383,0.0425187
18, 11, 41693, 0.014135,0.0673651
19, 11, 15183, 0.014616,0.0354069
20, 11, 64379, 0.0285811,0.0859479
25, 11, 21358, 0.0127142,0.0305441
26, 11, 15211, 0.0176528,0.0308519
27, 11, 17040, 0.0340135,0.0160255
28, 11, 13380, 0.0388691,0.0375873
37, 11, 5343, 0.0324639,0.0188066
38, 11, 8269, 0.0272529,0.0314022
39, 11, 56076, 0.0280803,0.0850932
41, 11, 25386, 0.0443459,0.02744
13, 12, 2707, 0.0106082,0.0105192
14, 12, 2919, 0.029024,0.0225614
15, 12, 4957, 0.0319717,0.0400744
19, 12, 13274, 0.0121189,0.0253103
26, 12, 16027, 0.0112729,0.0284154
27, 12, 24615, 0.0299539,0.0219556
28, 12, 14784, 0.0254195,0.018792
29, 12, 11246, 0.030247,0.0194204
37, 12, 24271, 0.0287226,0.0638332
40, 12, 43578, 0.0314831,0.0479275
41, 12, 37628, 0.0292653,0.0129449
42, 12, 19603, 0.0364469,0.00958676
43, 12, 15083, 0.0377486,0.0159322
44, 12, 6785, 0.0300374,0.0245936
14, 13, 3762, 0.0185035,0.0123115
15, 13, 9897, 0.035623,0.023052
26, 13, 21251, 0.0245413,0.0282623
27, 13, 27494, 0.0229497,0.0239952
28, 13, 10487, 0.0326251,0.0111981
29, 13, 15622, 0.0263272,0.0130124
30, 13, 19020, 0.025127,0.0249663
40, 13, 40640, 0.0304004,0.0524391
41, 13, 44379, 0.0315626,0.0212673
42, 13, 10594, 0.0372014,0.0170225
43, 13, 5625, 0.0406212,0.00434684
44, 13, 8713, 0.0418986,0.00809703
45, 13, 3963, 0.0327163,0.00959089
15, 14, 3436, 0.0105745,0.0127718
19, 14, 9316, 0.0330968,0.0255727
25, 14, 15317, 0.0273228,0.0258098
26, 14, 13651, 0.0257364,0.0358237
27, 14, 41534, 0.0397788,0.0154183
28, 14, 16661, 0.0463343,0.0130027
29, 14, 12369, 0.0418331,0.0216351
37, 14, 9464, 0.0327564,0.0357411
38, 14, 20076, 0.0304865,0.0495575
39, 14, 24495, 0.0327345,0.0581559
40, 14, 53109, 0.0271389,0.0550824
41, 14, 44681, 0.0474859,0.0302742
42, 14, 28514, 0.0482853,0.0323125
59, 14, 22625, 0.0284808,0.084171
16, 15, 6784, 0.0149865,0.0629743
17, 15, 15861, 0.0240655,0.0762295
18, 15, 9711, 0.0249365,0.03127
19, 15, 4338, 0.0306231,0.0146356
20, 15, 20386, 0.0478212,0.0532325
21, 15, 25281, 0.081174,0.0949912
25, 15, 6108, 0.0157468,0.0185755
26, 15, 18583, 0.0136545,0.0245518
27, 15, 42819, 0.0471861,0.0205214
36, 15, 12652, 0.0253443,0.0555018
37, 15, 9157, 0.0159124,0.0368987
38, 15, 12208, 0.0115446,0.0348691
39, 15, 18693, 0.0185935,0.0343205
59, 15, 8802, 0.0130656,0.076381
17, 16, 9347, 0.0106643,0.0134196
18, 16, 11242, 0.0106082,0.0310413
19, 16, 18703, 0.00778194,0.0271224
20, 16, 31375, 0.02358,0.0442212
21, 16, 39820, 0.0323424,0.0242247
22, 16, 5153, 0.0543465,0.0220467
23, 16, 8066, 0.0223497,0.0150105
24, 16, 7732, 0.00799353,0.0280406
25, 16, 10929, 0.00554582,0.0352564
26, 16, 26374, 0.0118403,0.042331
35, 16, 8326, 0.010137,0.0105987
36, 16, 7886, 0.00673051,0.0101013
37, 16, 8588, 0.00678343,0.00264326
38, 16, 13817, 0.00773585,0.0114161
39, 16, 42594, 0.0164285,0.0374363
53, 16, 3209, 0.0180204,0.00866129
