source cloud id, target cloud id, registration time, rotation error, translation error
, , ms, rad, mm
27,13,138,0.0225197,0.0215126
28,13,75,0.0350494,0.0096688
29,13,95,0.0260266,0.012438
30,13,79,0.0297823,0.0205942
40,13,110,0.030728,0.0528035
41,13,121,0.0328618,0.0190605
42,13,53,0.0376474,0.0160655
43,13,49,0.0431382,0.00631299
44,13,76,0.0410534,0.00859882
45,13,38,0.0326652,0.00980732
15,14,72,0.0128633,0.0126032
19,14,50,0.0313617,0.0214198
25,14,53,0.040677,0.0218814
26,14,117,0.0283255,0.0314284
27,14,174,0.0355325,0.0148143
28,14,126,0.0523022,0.0153463
29,14,114,0.0460529,0.0224067
37,14,152,0.0369957,0.0406279
38,14,138,0.0246625,0.047357
39,14,121,0.0307823,0.0562664
40,14,102,0.0261865,0.0546489
41,14,90,0.0497547,0.0262
42,14,81,0.0493915,0.0318982
59,14,66,0.0284347,0.0397858
16,15,124,0.0160616,0.0628145
17,15,164,0.0255691,0.0762107
18,15,107,0.024307,0.0339761
19,15,62,0.0314528,0.0144799
20,15,99,0.0458427,0.0516453
21,15,154,0.12217,0.12802
25,15,80,0.0157316,0.0185339
26,15,163,0.0157846,0.0242353
27,15,45,0.0284975,0.00504782
36,15,209,0.0265751,0.0547618
37,15,112,0.0171597,0.0362929
38,15,107,0.0134345,0.0383701
39,15,115,0.0188292,0.0355669
59,15,115,0.0133365,0.070476
17,16,129,0.00967984,0.0132079
18,16,178,0.0113257,0.0298336
19,16,86,0.0146811,0.0161473
20,16,122,0.0235901,0.0419233
21,16,195,0.0299141,0.0155182
22,16,54,0.0527518,0.0209725
23,16,91,0.0186383,0.0148497
24,16,138,0.00645937,0.0269901
25,16,129,0.00725884,0.0351629
26,16,113,0.0133186,0.0462967
35,16,119,0.0117594,0.0110067
36,16,120,0.00822868,0.0104963
37,16,142,0.00906945,0.00158443
38,16,117,0.00790354,0.011376
39,16,167,0.0175036,0.0283677
53,16,80,0.0191058,0.011909
54,16,105,0.0106082,0.0101558
55,16,58,0.0308287,0.0146191
56,16,71,0.0472139,0.0061476
58,16,79,0.013399,0.00522126
59,16,205,0.00442158,0.0067703
18,17,188,0.00600011,0.0349311
19,17,343,0.0111132,0.0923803
20,17,135,0.0173187,0.0361669
21,17,126,0.0338202,0.0209044
22,17,135,0.0317208,0.0129619
23,17,176,0.025457,0.0165237
24,17,93,0.0278629,0.018649
25,17,81,0.0125443,0.0253493
35,17,132,0.0232644,0.0114165
36,17,115,0.0229341,0.0181775
37,17,110,0.0193414,0.0329422
38,17,134,0.0216065,0.0377677
39,17,205,0.0161946,0.049604
53,17,68,0.0257272,0.00684502
54,17,138,0.00808251,0.0216228
55,17,178,0.02411,0.0303441
58,17,119,0.0186639,0.0627068
59,17,126,0.019452,0.0325839
19,18,212,0.0121973,0.0314697
20,18,173,0.00674819,0.0221469
21,18,120,0.0182309,0.0110774
22,18,136,0.0454797,0.0405543
23,18,96,0.0491106,0.0433477
24,18,130,0.0334729,0.026932
25,18,125,0.0217166,0.0364906
26,18,138,0.0181128,0.0449428
35,18,120,0.014673,0.0362862
36,18,124,0.0254054,0.0256027
37,18,57,0.0123527,0.0104964
38,18,145,0.0195986,0.0350309
39,18,161,0.0182701,0.0223345
54,18,198,0.0119605,0.0567645
59,18,180,0.0214681,0.0631029
20,19,210,0.0085971,0.0499013
21,19,109,0.0373772,0.0265184
24,19,75,0.0194582,0.0342681
25,19,75,0.0136371,0.0145604
26,19,73,0.022856,0.0302926
36,19,108,0.0297342,0.0288573
37,19,129,0.0136371,0.0183152
38,19,93,0.0158824,0.0260336
39,19,216,0.00993509,0.0435952
54,19,93,0.011294,0.019003
59,19,93,0.025875,0.0358336
21,20,200,0.0213847,0.0337309
35,20,137,0.0254991,0.0279939
36,20,179,0.0132558,0.0249058
39,20,104,0.0286353,0.0336629
22,21,139,0.014754,0.0129739
23,21,122,0.0217714,0.0161074
24,21,119,0.0131384,0.0301158
35,21,107,0.021946,0.0130879
39,21,125,0.0318371,0.0207988
23,22,263,0.00825761,0.0154939
24,22,190,0.00738905,0.0368429
35,22,131,0.0298382,0.0170535
36,22,122,0.0306814,0.0367222
54,22,151,0.0353677,0.0126455
55,22,132,0.0289705,0.0159871
24,23,142,0.0113886,0.0228418
35,23,158,0.0320945,0.0104066
36,23,124,0.0372302,0.0235115
54,23,121,0.0409166,0.020724
55,23,148,0.0301799,0.0277441
25,24,131,0.0147621,0.0145305
35,24,188,0.0196168,0.0292774
36,24,143,0.0239064,0.0109127
37,24,143,0.0178876,0.023046
39,24,116,0.0339503,0.0186591
54,24,154,0.00543728,0.0382991
55,24,126,0.016414,0.0355017
59,24,126,0.025875,0.0342586
26,25,137,0.0260495,0.0070765
35,25,101,0.00541531,0.0150749
36,25,144,0.0106531,0.019421
37,25,146,0.0156328,0.0155203
38,25,116,0.017619,0.0285502
39,25,95,0.0164937,0.0185317
53,25,86,0.0239363,0.023508
54,25,130,0.0079786,0.0213288
59,25,128,0.0104154,0.0206778
27,26,170,0.0234635,0.0153839
36,26,194,0.0200199,0.0281605
37,26,225,0.00787332,0.0174164
38,26,55,0.0456915,0.0206194
39,26,56,0.0294076,0.0177276
28,27,149,0.0136283,0.0235973
29,27,162,0.0345077,0.0560169
29,28,173,0.0197742,0.0284235
30,28,112,0.0329487,0.0235409
31,28,41,0.0188292,0.0163449
40,28,70,0.0241693,0.0371853
41,28,89,0.0135141,0.0102651
30,29,92,0.0254991,0.0284024
